epoch: 1 | lr: 0.0000300 | Train loss: 0.47002580761909485 | Validation loss: 0.3551149070262909 | Validation accuracy: 37.174515235457065 | QWKappa: 0.6903065525497069
epoch: 2 | lr: 0.0003000 | Train loss: 0.4009779691696167 | Validation loss: 0.5315896272659302 | Validation accuracy: 38.67036011080332 | QWKappa: 0.5714629311274604
epoch: 3 | lr: 0.0000300 | Train loss: 0.2971567213535309 | Validation loss: 0.27429869771003723 | Validation accuracy: 52.465373961218845 | QWKappa: 0.8130217636199313
epoch: 4 | lr: 0.0000296 | Train loss: 0.2723946273326874 | Validation loss: 0.26187339425086975 | Validation accuracy: 53.29639889196676 | QWKappa: 0.8220913127596226
epoch: 5 | lr: 0.0000285 | Train loss: 0.2590189576148987 | Validation loss: 0.2604466676712036 | Validation accuracy: 54.958448753462605 | QWKappa: 0.8136039393737039
epoch: 6 | lr: 0.0000267 | Train loss: 0.2489921897649765 | Validation loss: 0.24976696074008942 | Validation accuracy: 56.67590027700831 | QWKappa: 0.8388317148426815
epoch: 7 | lr: 0.0000244 | Train loss: 0.24043694138526917 | Validation loss: 0.25415346026420593 | Validation accuracy: 55.90027700831025 | QWKappa: 0.8333531331813417
epoch: 8 | lr: 0.0000215 | Train loss: 0.2367522120475769 | Validation loss: 0.2443651258945465 | Validation accuracy: 58.89196675900277 | QWKappa: 0.8349906686012654
epoch: 9 | lr: 0.0000183 | Train loss: 0.22991672158241272 | Validation loss: 0.24067628383636475 | Validation accuracy: 59.501385041551245 | QWKappa: 0.843869130226241
epoch: 10 | lr: 0.0000150 | Train loss: 0.22390855848789215 | Validation loss: 0.2390146702528 | Validation accuracy: 61.05263157894737 | QWKappa: 0.8483710943746832
epoch: 11 | lr: 0.0000117 | Train loss: 0.21757379174232483 | Validation loss: 0.23655536770820618 | Validation accuracy: 61.38504155124653 | QWKappa: 0.8462551977308979
epoch: 12 | lr: 0.0000085 | Train loss: 0.21492722630500793 | Validation loss: 0.23852777481079102 | Validation accuracy: 61.772853185595565 | QWKappa: 0.8481113486253662
epoch: 13 | lr: 0.0000056 | Train loss: 0.21199920773506165 | Validation loss: 0.2396761029958725 | Validation accuracy: 60.22160664819944 | QWKappa: 0.8472589184984682
epoch: 14 | lr: 0.0000033 | Train loss: 0.20760153234004974 | Validation loss: 0.24129292368888855 | Validation accuracy: 62.38227146814405 | QWKappa: 0.8419397094965598
epoch: 15 | lr: 0.0000015 | Train loss: 0.20505627989768982 | Validation loss: 0.2400343418121338 | Validation accuracy: 62.10526315789474 | QWKappa: 0.8499759192540549
