epoch: 1 | lr: 0.0000300 | Train loss: 0.4593144953250885 | Validation loss: 0.35806238651275635 | Validation accuracy: 37.55125951962508 | QWKappa: 0.6791486492296344
epoch: 2 | lr: 0.0003000 | Train loss: 0.3782101571559906 | Validation loss: 0.3382596969604492 | Validation accuracy: 42.00351493848858 | QWKappa: 0.7239590566566139
epoch: 3 | lr: 0.0000300 | Train loss: 0.2808331549167633 | Validation loss: 0.2662038803100586 | Validation accuracy: 57.23491505565319 | QWKappa: 0.8381032910461632
epoch: 4 | lr: 0.0000296 | Train loss: 0.2567158639431 | Validation loss: 0.24438022077083588 | Validation accuracy: 59.40246045694201 | QWKappa: 0.8496714907352382
epoch: 5 | lr: 0.0000285 | Train loss: 0.24002359807491302 | Validation loss: 0.2422196865081787 | Validation accuracy: 62.09724663151728 | QWKappa: 0.8523210555015334
epoch: 6 | lr: 0.0000267 | Train loss: 0.233632430434227 | Validation loss: 0.2334400862455368 | Validation accuracy: 62.80023432923257 | QWKappa: 0.8623414829561256
epoch: 7 | lr: 0.0000244 | Train loss: 0.22236207127571106 | Validation loss: 0.2334749698638916 | Validation accuracy: 60.74985354422964 | QWKappa: 0.8584022927569473
epoch: 8 | lr: 0.0000215 | Train loss: 0.21721301972866058 | Validation loss: 0.23126409947872162 | Validation accuracy: 61.92149970708846 | QWKappa: 0.8544250507135118
epoch: 9 | lr: 0.0000183 | Train loss: 0.20764340460300446 | Validation loss: 0.22885693609714508 | Validation accuracy: 64.5577035735208 | QWKappa: 0.8563022604318402
epoch: 10 | lr: 0.0000150 | Train loss: 0.20220817625522614 | Validation loss: 0.23011989891529083 | Validation accuracy: 62.85881663737551 | QWKappa: 0.856322719466629
epoch: 11 | lr: 0.0000117 | Train loss: 0.19958950579166412 | Validation loss: 0.22959306836128235 | Validation accuracy: 63.09314586994728 | QWKappa: 0.8600438506281569
epoch: 12 | lr: 0.0000085 | Train loss: 0.1940048485994339 | Validation loss: 0.23495571315288544 | Validation accuracy: 61.980082015231396 | QWKappa: 0.8587461875145539
epoch: 13 | lr: 0.0000056 | Train loss: 0.19041812419891357 | Validation loss: 0.23560327291488647 | Validation accuracy: 62.80023432923257 | QWKappa: 0.8633674708991357
epoch: 14 | lr: 0.0000033 | Train loss: 0.18708084523677826 | Validation loss: 0.23207226395606995 | Validation accuracy: 63.73755125951962 | QWKappa: 0.8595292356955403
epoch: 15 | lr: 0.0000015 | Train loss: 0.18705980479717255 | Validation loss: 0.23056915402412415 | Validation accuracy: 63.85471587580551 | QWKappa: 0.8570830102943697
epoch: 1 | lr: 0.0000300 | Train loss: 0.45962095260620117 | Validation loss: 0.3500104248523712 | Validation accuracy: 39.015817223198596 | QWKappa: 0.7067667421610188
epoch: 2 | lr: 0.0003000 | Train loss: 0.3782787322998047 | Validation loss: 0.3714647591114044 | Validation accuracy: 44.05389572349151 | QWKappa: 0.6816439082085011
epoch: 3 | lr: 0.0000300 | Train loss: 0.2797052562236786 | Validation loss: 0.26742416620254517 | Validation accuracy: 58.17223198594025 | QWKappa: 0.8362549276991063
epoch: 4 | lr: 0.0000296 | Train loss: 0.25756174325942993 | Validation loss: 0.2480149269104004 | Validation accuracy: 60.398359695371994 | QWKappa: 0.8452024897133437
epoch: 5 | lr: 0.0000285 | Train loss: 0.24041485786437988 | Validation loss: 0.24753840267658234 | Validation accuracy: 63.03456356180433 | QWKappa: 0.8433994888865538
epoch: 6 | lr: 0.0000267 | Train loss: 0.2322627156972885 | Validation loss: 0.2375296801328659 | Validation accuracy: 63.210310486233155 | QWKappa: 0.8532238083561137
epoch: 7 | lr: 0.0000244 | Train loss: 0.22252793610095978 | Validation loss: 0.234770268201828 | Validation accuracy: 62.15582893966022 | QWKappa: 0.8572825047855541
epoch: 8 | lr: 0.0000215 | Train loss: 0.21745412051677704 | Validation loss: 0.23489783704280853 | Validation accuracy: 61.92149970708846 | QWKappa: 0.8453756875449456
epoch: 9 | lr: 0.0000183 | Train loss: 0.20916233956813812 | Validation loss: 0.23102307319641113 | Validation accuracy: 63.620386643233736 | QWKappa: 0.8539809313577298
epoch: 10 | lr: 0.0000150 | Train loss: 0.2042938619852066 | Validation loss: 0.2339092493057251 | Validation accuracy: 63.73755125951962 | QWKappa: 0.8523670807205307
epoch: 11 | lr: 0.0000117 | Train loss: 0.20074544847011566 | Validation loss: 0.23320983350276947 | Validation accuracy: 62.68306971294669 | QWKappa: 0.8524086719337501
epoch: 12 | lr: 0.0000085 | Train loss: 0.19633987545967102 | Validation loss: 0.2388121336698532 | Validation accuracy: 61.15992970123023 | QWKappa: 0.8538893790507427
epoch: 13 | lr: 0.0000056 | Train loss: 0.19259819388389587 | Validation loss: 0.23678547143936157 | Validation accuracy: 61.804335090802574 | QWKappa: 0.8557647708567496
epoch: 14 | lr: 0.0000033 | Train loss: 0.1885838359594345 | Validation loss: 0.23388239741325378 | Validation accuracy: 62.50732278851787 | QWKappa: 0.8584472068356609
epoch: 15 | lr: 0.0000015 | Train loss: 0.18947482109069824 | Validation loss: 0.2333226054906845 | Validation accuracy: 62.80023432923257 | QWKappa: 0.8546666765522534
